#Replicon_name	System_Id	Reference_system	System_status	Nb_loci	Nb_Ref_mandatory	Nb_Ref_accessory	Nb_Ref_Genes_detected_NR	Nb_Genes_with_match	System_length	Nb_Mandatory_NR	Nb_Accessory_NR	Nb_missing_mandatory	Nb_missing_accessory	List_missing_mandatory	List_missing_accessory	Loci_positions	Occur_Mandatory	Occur_Accessory	Occur_Forbidden
Unordered	CAS-TypeIE_putative	CAS-TypeIE	no_decision	None	7	3	0	6	None	6	0	1	3	['cse2_TypeIE']	['cas3_TypeI', 'cas5_TypeI', 'cas3a_TypeI']	None	{'cas1_TypeIE': 1, 'cse2_TypeIE': 0, 'cas5_TypeIE': 1, 'cas2_TypeIE': 1, 'cas6_TypeIE': 1, 'cas7_TypeIE': 1, 'cse1_TypeIE': 1}	{'cas3_TypeI': 0, 'cas5_TypeI': 0, 'cas3a_TypeI': 0}	{}
Unordered	CAS_putative	CAS	no_decision	None	4	6	0	0	None	0	0	4	6	['cas6_TypeI-III', 'cas4_TypeI-II', 'cas1_TypeI-II-III', 'cas2_TypeI-II-III']	['cas1_TypeIF', 'cas1_TypeIE', 'cas1_TypeID', 'cas1_TypeIC', 'cas1_TypeIB', 'cas1_TypeIA']	None	{'cas6_TypeI-III': 0, 'cas4_TypeI-II': 0, 'cas1_TypeI-II-III': 0, 'cas2_TypeI-II-III': 0}	{'cas1_TypeIF': 0, 'cas1_TypeIE': 0, 'cas1_TypeID': 0, 'cas1_TypeIC': 0, 'cas1_TypeIB': 0, 'cas1_TypeIA': 0}	{}
